"部品ID","納入先ID","図面番号","名称","主機種型式","部品重量","工程備考","注文備考","作成日","旧型","特別品","廃止部品","工程ID","材料ID","原価ID","不適合ID","共通部品ID","事前準備品"
1,1,"N73032A03","ﾎｰｽ継手押ｴ","SL-60","0","2P取り","",2019/2/8 0:00:00,0,0,0,1,1,1,,0,""
2,1,"A15086A02","段取STｽｲｯﾁｶﾊﾞｰ","MH-632",,"","",,0,0,0,2,2,2,,,
3,1,"A31054A03","搬送用ｱｰﾑ(2)","MH-502","0","","",2019/1/14 0:00:00,0,0,0,3,3,3,,0,""
4,1,"A22130B03","ﾏｶﾞｼﾞﾝ駆動ﾓｰﾀ取付ﾍﾞｰｽ","SV-40","0","","",2019/1/16 0:00:00,0,0,0,4,4,4,4,0,""
5,1,"A34306A05","ﾎﾟｯﾄ回転用ﾌｯｸ(2)","SH-63",,"","",,0,0,0,0,,5,,,
6,1,"A26064A07","ﾎﾟｯﾄ位置決ﾒﾍﾞｰｽ","MV-JR",,"","",,-1,0,0,0,,6,,,
7,1,"B52360A01","BLOCK","FM-303",,"","",1999/9/24 0:00:00,0,0,0,7,7,7,,,
8,1,"N70010A01","ﾛｯｸﾅｯﾄ","MH-40",,"","",,0,0,0,8,8,8,,,
9,69,"N70127A01","LOCK NUT","カイタック","0","","",2019/2/26 0:00:00,0,0,0,9,9,9,,0,""
10,1,"B53283A01","CLAMPING PLATE","FM-303",,"","",1999/9/24 0:00:00,0,0,0,10,10,10,,,""
11,1,"B45131A04","ｶﾞｲﾄﾞﾌﾞﾛｯｸ","DL-20",,"","A01→A04版数変更",,0,0,0,0,0,11,,,""
12,1,"B08011A02","ﾊﾟﾚｯﾄﾌｯｸ2","M-300A4","320","","A01→A02版数変更　’03.10.31同等品　井本ゆ",,0,0,0,0,,12,,,
13,1,"B55164A02","ｻﾌﾞｱｰﾑ用ﾂｰﾙ保持ﾌﾞﾛｯｸ(U軸用)","MH-632/U",,"Ｂ55116類似　焼入れ前品追加工可　このﾂｰﾙ保持ﾌﾞﾛｯｸは焼入れしません","",2006/11/15 0:00:00,0,0,0,13,1479,13,,,""
14,1,"B11173A02","ﾃｰﾌﾞﾙ用配管ﾌﾞﾛｯｸ(1)","SH-63",,"","",,0,0,0,0,,14,,,
15,1,"B53071A05","ﾂｰﾙ保持ﾌﾞﾛｯｸ","MH-402",,"","",,-1,0,0,15,15,15,,,
16,1,"B53083C03","ﾂｰﾙ保持ﾌﾞﾛｯｸ","MH-502",,"図面はS55C","",,-1,0,0,16,16,16,,,
17,1,"B11171A01","ﾃｰﾌﾞﾙ配管ﾌﾞﾛｯｸ","SH-63",,"","",,0,0,0,0,,17,,,
18,1,"F66183C01","ﾁｬｯｸﾊﾝﾄﾞ本体",,,"","",2005/8/31 0:00:00,0,0,0,18,18,18,,,
19,1,"R61008A07","ｶﾑ　ｽﾀｯﾄﾞ","","122","","",2021/10/4 0:00:00,0,0,0,19,19,19,,0,""
20,1,"B43488A01","扉軸受(右)","SH-63",,"","",,0,0,0,0,,20,,,
21,1,"B44060A01","ｴｱｰﾌﾞﾛｰ用ﾌﾞﾛｯｸ","SV-50",,"","",,-1,0,0,21,21,21,,,
22,1,"B27069A01","着座ﾌﾞﾛｯｸ(1)","SV-50",,"","",,-1,0,0,22,22,22,,,
23,1,"B27068A01","ﾚｰﾙ押ｴ","SH-63","49","","",,-1,0,0,23,23,23,,,
24,1,"B27062A01","ﾃｰﾊﾟｷﾞﾌﾞ","MH-50M",,"","",,0,0,0,24,24,24,,,
25,1,"B13212B01","刃物台油圧ﾌﾞﾛｯｸ","DL-15",,"","",,0,0,0,0,,25,,,
26,1,"B57203A05","APCｱｰﾑﾍﾞｰｽ柱(大)","MH-632",,"","",,0,0,0,0,,26,,,
27,1,"B05069A04","X軸ﾎﾞｰﾙﾈｼﾞ受ｹ受ｹ側","SL-45",,"","",,0,0,0,27,27,27,,,""
28,1,"B57159A03","位置決ﾒﾌﾞﾛｯｸ","MH-502",,"","",,0,0,0,28,,28,,,
29,1,"B53212A01","主軸ｾﾝｻｶﾊﾞｰ","SH-50",,"","",,0,0,0,0,,29,,,
30,1,"B05071A04","HOLDER","ZL-45","0","","",2007/6/14 0:00:00,0,0,0,30,30,30,,0,""
31,1,"B05077A01","ﾎﾞｰﾙﾈｼﾞ受ｹ(受ｹ側)","ZL-35",,"","",,0,0,0,0,,31,,,
32,1,"B54179C01","ｱﾝｸﾗﾝﾌﾟﾚﾊﾞｰ受ｹ(左)","TV-30",,"","",,0,0,0,0,,32,,,
33,1,"B27070A01","着座ﾌﾞﾛｯｸ(2)","SV-50","160","","",,0,0,0,33,33,33,33,,
34,1,"B27060A01","ﾃｰﾊﾟｷﾞﾌﾞ(2)","MB-16","50","","",,-1,0,0,34,23,34,,,
35,1,"B27059A01","ﾃｰﾊﾟｷﾞﾌﾞ","M-1",,"","",,-1,0,0,35,23,35,,,
36,1,"B35436A02","ﾂｰﾙﾌﾟﾘｾｯﾀｰﾍﾞｰｽ(2)(第2軸側)","DL-150",,"","",,0,0,0,0,,36,,,
37,1,"B05084A01","X軸ﾎﾞｰﾙﾈｼﾞ受ｹ受ｹ側","DL-25",,"","'13.6.4転注　藤村",,0,0,-1,37,37,37,37,,
38,1,"B43489A01","扉軸受(左)","SH-63",,"","",,0,0,0,0,,38,,,
39,1,"B58205A01","複合ﾂｰﾙ位置決ﾒﾌﾞﾛｯｸ(U軸用)","MH-632",,"","",,0,0,0,39,39,39,,,
40,1,"B53159A01","ﾂｰﾙ保持ﾌﾞﾛｯｸ","MH-632/U",,"","",,0,0,0,0,,40,,,
41,1,"B54180C01","ｱﾝｸﾗﾝﾌﾟﾚﾊﾞｰ受ｹ(右)","TV-30",,"","",,0,0,0,0,,41,,,
42,1,"R33044A02","ｼﾝｵｼ　ｼﾘﾝﾀﾞｰ","AL-2T",,"","",,-1,0,0,42,42,42,,,
43,1,"B44089A03","干渉防止ﾎﾙﾀﾞ部品(ｲﾝﾁ)","SL-25",,"","",,0,0,0,0,361,43,,,""
44,1,"F70063A03","基準ﾎﾞｽ(2)","DL-20 ALL",,"","",,0,0,0,0,,44,,,
45,1,"B53203B01","ｻﾎﾟｰﾄﾚﾊﾞｰ1","TV-30","36","社内切断Ｌ：39","",2001/6/26 0:00:00,0,0,0,45,45,45,45,0,""
46,69,"B52059A14","BLOCK","SL-25","0","登録版数変更A11→A12　’18.10.11井本ゆ / 切削油案内ﾌﾞﾛｯｸ / MD","切削油案内ﾌﾞﾛｯｸ",2018/10/11 0:00:00,0,0,0,46,46,46,,0,""
47,1,"B65077A07","ﾄﾞｯｸﾞ","MV-JR",,"","",2007/5/16 0:00:00,0,0,0,0,0,47,,,""
48,1,"B52052A03","ﾁｪｰﾝ案内取付ﾌﾞﾛｯｸ","M-300A",,"","",,0,0,0,0,,48,,,
49,1,"R65073A02","ｵｲﾙﾐｽﾄﾉｽﾞﾙ駒(3)","SH-63",,"","",,0,0,0,49,49,49,,,
50,1,"F49012A02","COLLAR","カイタック","0","","",2023/2/16 0:00:00,0,0,0,50,50,50,,0,""
51,67,"BIS-0039-062","上部高粘度タービン36","36","0","","",2019/2/1 0:00:00,-1,0,0,51,51,51,,0,""
52,1,"R78035B02","ｱﾀﾞﾌﾟﾀ","M-400C1",,"","",,0,0,0,52,52,52,,,
53,1,"R32089B01","ｼﾘﾝﾀﾞ","SL-400MC",,"","",,-1,0,0,53,53,53,,,""
54,1,"R28066A01","ｺｰﾝｶｯﾌﾟﾘﾝｸﾞ凸型","M-400C1",,"焼入れ、研磨は森精機","",,-1,0,0,54,54,54,,,
55,1,"R33103A04","ﾂｰﾙｱﾝｸﾗﾝﾌﾟ用ﾋﾟｽﾄﾝ","M-300L",,"","",,0,0,0,0,,55,,,
56,1,"R22123A01","ｽﾌﾟﾛｹｯﾄ取付軸",,,"","",2007/7/23 0:00:00,0,0,0,56,56,56,,,
57,65,"YF20306A02","コマ","正面エンドミルホルダー","0","","",2023/3/23 0:00:00,0,0,0,57,57,57,,0,""
58,1,"R33068A02","ﾂｰﾙｱﾝｸﾗﾝﾌﾟﾋﾟｽﾄﾝｶﾞｲﾄﾞ","MV-JR.",,"","",,0,0,0,58,,58,,,
59,1,"F76068A01","ﾀﾚｯﾄﾐｰﾘﾝｸﾞｽﾃｰｼｮﾝﾌﾀ","SL-45M","1430","","",2004/9/16 0:00:00,0,0,0,59,59,59,,,""
60,1,"R33080B06","ﾂｰﾙｱﾝｸﾗﾝﾌﾟﾋﾟｽﾄﾝｶﾞｲﾄﾞ","MH-402",,"","",,0,0,0,60,60,60,,,
61,1,"F39090A02","主軸後ﾍﾞｱﾘﾝｸﾞｶﾗｰ","SL-25A/500",,"","",,0,0,0,61,,61,,,
62,1,"R78024A02","ﾛｯｸ解除用連結軸","MH632","0","","",2023/2/20 0:00:00,0,0,0,62,62,62,,0,""
63,1,"R61003A04","ｶﾑ","AL-22","91","","",,0,0,0,63,63,63,,,
64,1,"R24247C04","ｱｰﾑﾚﾊﾞｰ軸","MH-402","1750","","",,-1,0,0,64,64,64,,,
65,1,"R25110E04","ﾋﾟﾝ","MH-502","0","","",2025/3/6 0:00:00,0,0,0,65,65,65,65,0,""
66,1,"R65012A06","切削油吐出口","SL-1A",,"","",,0,0,0,66,66,66,,,
67,1,"R24633A01","旋回軸","CV-50A",,"","",,0,0,0,67,67,67,,,""
68,1,"F45080B01","主軸冷却ﾌﾗﾝｼﾞ","MV-40","0","","",2024/1/19 0:00:00,0,0,0,68,68,68,,0,""
69,1,"F50064B03","ﾌﾟｰﾘｰ押ｴ","SL-45M",,"","",,0,0,0,0,,69,,,
70,69,"B5901533A01","BLOCK","単価改定中(4/13分は旧単価）NVX5000Ge2　カイタック","0","","",2023/3/29 0:00:00,0,0,0,70,70,70,,0,""
71,1,"F30170A02","ｶﾗｰ","MH-502",,"","",,0,0,0,0,,71,,,
72,69,"B5901034A03","BLOCK","NMV3000・5000DCG　カイタック","0","","",2023/3/29 0:00:00,0,0,0,72,72,72,,0,""
