"納入先ID","会社名","会社名カナ","法人格","法人格位置","略称","担当部署","担当者名","担当者連絡先","郵便番号","住所1","住所2","住所3","敬称","取引状態","電話番号","FAX番号","取引方法","締切日","仮単価区分","通貨区分","支払日","指定納品書有無","請求書起票区分","支払サイト区分","支払サイト","前回締切日","備考"
1,"DMG森精機㈱","DMGﾓﾘｾｲｷ",,,,,,,,,,,,1,,,,"20",0,1,"20",1,0,1,"翌月","2026/03/20","'13.10社名変更"
2,"旭精工㈱","ｱｻﾋｾｲｺｳ",,,,,,,,,,,,1,,,,"31",0,1,"31",1,0,1,"翌月","2026/02/28",
3,"ヨコタ工業㈱",,,,,,,,,,,,,0,,,,"31",0,1,,1,0,,"",,
4,"大昭和精機㈱","ﾀﾞｲｼﾖｳﾜｾｲｷ",,,,,,,,,,,,1,,,,"20",0,1,"15",1,0,1,"翌月","2025/11/20",
5,"㈱椿本チェイン","ﾂﾊﾞｷﾓﾄﾁｪﾝ",,,,,,,,,,,,1,,,,"31",0,1,"31",1,0,1,"翌月","2025/03/31","'17.10 '13.10社名変更"
6,"ナビタス",,,,,,,,,,,,,0,,,,"31",0,1,,1,0,,"",,
7,"阪井鋲螺",,,,,,,,,,,,,0,,,,"25",0,1,,0,1,,"",,
8,"太陽機械商事㈱",,,,,,,,,,,,,0,,,,"20",0,1,"31",0,1,,"",,
9,"日本精密機械工作",,,,,,,,,,,,,1,,,,"31",0,1,"25",1,0,1,"翌月","2019/02/28","100万以上手形"
10,"ダイナミックツール㈱","ﾀﾞｲﾅﾐﾂｸﾂ-ﾙ",,,,,,,,,,,,1,,,,"31",0,1,"31",0,1,1,"翌月","2026/01/31","'14.3変更"
11,"イモト精機",,,,,,,,,,,,,1,,,,"20",0,1,,0,1,,"",,
12,"興成製作所","ｺｳｾｲｾｲｻｸｼﾖ",,,,,,,,,,,,1,,,,"20",0,1,"20",1,1,1,"翌月","2025/08/20",
13,"その他",,,,,,,,,,,,,1,,,,,0,1,,0,1,,"",,
14,"ファミリー",,,,,,,,,,,,,0,,,,"15",0,1,,0,1,,"",,
15,"藤本産業㈱",,,,,,,,,,,,,0,,,,"15",0,1,,0,1,,"",,
16,"（株）クボタ（ネツレン）",,,,,,,,,,,,,0,,,,,0,1,,0,1,,"",,
17,"森本工業所",,,,,,,,,,,,,0,,,,"20",0,1,,0,1,,"",,
18,"エースマシン",,,,,,,,,,,,,0,,,,"31",0,1,,0,1,,"",,
19,"(株)八馬製作所","ﾊﾁｳﾏｾｲｻｸｼﾖ",,,,,,,,,,,,1,,,,"31",0,1,"31",1,0,1,"翌月","2025/12/31","振込手数料イモト負担"
20,"クリーン・テクノロジ（株）",,,,,,,,,,,,,0,,,,"20",0,1,"31",0,1,1,"翌月","2018/04/20",
21,"（株）エフシーシー",,,,,,,,,,,,,0,,,,,0,1,,0,1,,"",,
22,"㈲藤本製作所",,,,,,,,,,,,,1,,,,"31",0,1,"31",0,1,1,"翌月","2021/06/30",
23,"㈱クリスタル光学","ｸﾘｽﾀﾙｺｳｶﾞｸ ",,,,,,,,,,,,1,,,,"31",0,1,"31",0,1,1,"翌月","2013/11/30",
24,"㈱オオノ",,,,,,,,,,,,,0,,,,"20",0,1,,0,1,,"",,
26,"長谷川精機㈱",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
27,"丸昌工業",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
28,"㈱Ｊエンジニアリング",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
29,"㈱積水工機製作所",,,,,,,,,,,,,0,,,,"31",0,1,,0,1,,"",,
30,"マツモト機械㈱",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
31,"成憲機工",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
32,"日本電産シンポ㈱",,,,,,,,,,,,,0,,,,"25",0,1,,0,1,,"",,
33,"マンヨーツール㈱","ﾏﾝﾖ-ﾂ-ﾙ",,,,,,,,,,,,1,,,,"20",0,1,,0,1,,"","2022/02/20",
34,"㈱ダイロック",,,,,,,,,,,,,1,,,,"0",0,1,,0,1,,"",,
35,"中農製作所",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
36,"ＨＥIテクニカル",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
37,"㈱おじま（グローリー工業）",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
38,"KDEC（アイセル㈱）",,,,,,,,,,,,,0,,,,"20",0,1,,0,1,,"",,
39,"センシングICGジャパン（株）","","  "," ","",,,,"        ","","",,,1,"","",0,"31",0,1,"20",0,1,1,"翌月","2026/01/31","←ﾌｫｰﾃｨﾌﾞICGジャパン’25.4.1"
40,"猪野工業㈱",,,,,,,,,,,,,0,,,,"0",0,1,,0,1,,"",,
41,"谷内金型製作所",,,,,,,,,,,,,0,,,,"20",0,1,,0,1,,"",,
42,"㈱カワタテック","ｶﾜﾀﾃﾂｸ",,,,,,,,,,,,1,,,,"20",1,1,"20",1,0,1,"翌月","2026/02/20",
43,"光文工業㈱",,,,,,,,,,,,,1,,,,"31",1,1,"20",0,1,,"","2026/02/28",
44,"伊藤忠商事㈱",,,,,,,,,,,,,0,,,,"20",0,1,"20",1,0,,"",,
