"NC_id","B_id","K_id"
1,3573,1
2,3573,2
3,3931,1
4,3931,2
5,3942,5
6,3942,6
7,3388,7
8,3388,8
9,2036,9
10,2036,10
11,4124,11
12,4124,12
13,4124,13
14,3321,14
15,3321,15
16,2998,16
17,2998,17
18,3564,18
19,3564,19
20,4104,20
21,4104,21
22,4104,22
23,3849,23
24,3236,24
25,3236,25
26,4139,26
27,4139,27
28,3509,28
29,4129,29
30,4129,30
31,3692,31
32,3692,32
33,3476,33
34,3476,34
35,4058,35
36,4058,36
37,4058,37
38,3500,38
39,3500,39
40,4143,40
41,4143,41
42,3544,42
43,3147,43
44,3147,44
45,4132,45
46,4132,46
47,2127,47
48,2127,48
49,4142,49
50,4142,50
51,1944,51
52,3565,52
53,3565,53
54,4133,54
55,4133,55
56,4133,56
57,3851,57
58,3851,58
59,477,59
60,477,60
61,3816,61
62,3816,62
63,1900,63
64,758,64
65,758,65
66,759,66
67,759,67
68,2845,68
69,2845,69
70,3898,70
71,3898,71
72,3898,72
73,3460,73
74,3460,74
76,4137,76
77,4137,77
78,2233,78
79,2233,79
80,2693,80
81,2693,81
82,2791,82
83,2791,83
84,451,84
85,451,85
86,446,86
87,446,87
88,4147,88
89,4147,89
90,4141,90
91,4141,91
92,3807,92
93,3807,93
94,3807,94
95,2793,95
96,2793,96
97,3921,97
98,3921,98
99,3921,99
100,4138,100
101,4138,101
102,3532,102
103,3532,103
104,4157,104
105,4157,105
106,2128,106
107,2128,107
108,1427,108
109,3876,109
110,3876,110
111,4146,111
112,4146,112
113,2344,113
114,3984,114
115,2574,115
116,3530,116
117,2596,117
118,2596,118
119,4134,119
120,4134,120
121,3680,121
122,2838,122
123,2838,123
124,1694,124
125,1694,125
126,4148,126
127,4148,127
128,3818,128
129,3818,129
130,4149,130
131,4149,131
132,4149,132
133,4140,133
134,4140,134
135,3515,135
136,3515,136
138,3011,138
139,2574,139
140,3469,140
141,3469,141
142,3469,142
143,3821,143
144,3821,144
145,3239,145
146,3239,146
147,3037,147
148,3037,148
149,4145,149
150,4145,150
151,4145,151
152,3007,152
153,4151,153
154,4151,154
155,4152,155
156,4152,156
157,3869,157
158,3869,158
159,3869,159
160,4135,160
161,4135,161
162,3008,162
163,3002,163
164,3002,164
165,469,165
166,469,166
167,469,167
168,4144,168
169,4144,169
170,2339,170
171,2339,171
172,3819,172
173,3819,173
174,3012,174
175,4168,175
176,4168,176
177,447,177
178,447,178
179,447,179
180,3622,180
181,3622,181
182,3009,182
183,3545,183
184,3545,184
185,4073,185
186,4073,186
187,3816,187
188,3077,188
189,470,189
190,470,190
191,4048,191
192,4048,192
193,4048,193
194,3893,194
195,3893,195
196,3137,196
197,474,197
198,474,198
199,3138,199
200,3708,200
