"T_id","K_id","No","Shave1","Shave2","Chip","Holder","NorzR","Note"
1,1,1,"ＦＣＤ",,,"59Φ",,
2,1,2,"外径","荒","□",,0.80,
3,1,3,"内径","荒","□△","32H～40H",0.80,
4,1,4,"内径","仕","△","32H～40H",0.40,
5,1,5,"外径","仕","◇",,0.40,
6,2,1,"外径","荒","□",,0.80,
7,2,2,"内径","面仕","△","32H～40H",0.40,
8,2,3,"外径","仕","◇",,0.40,
9,11,1,"ＦＣＤ",,,"59φ",,
10,11,2,"外径","荒","□",,0.80,
11,12,1,"外径","荒","□",,0.80,
12,12,2,"内径","荒","□","40～50H",0.80,
13,12,3,"内径","仕","△","40H",0.40,
14,12,4,"端面","溝","4.5巾",,0.40,"京セラ SFR1001C"
15,12,5,"外径","仕",,,0.40,
16,13,1,"外径","荒","□",,0.80,
17,13,2,"内径","荒","□","40～50H",0.80,
18,13,3,"内径","溝","5巾","40H",0.40,"京セラ"
19,13,4,"内径","仕","△","40H",0.40,
20,13,5,"外径","仕","◇",,0.40,
21,13,6,"外径","溝","3巾",,0.20,"サーメット"
22,14,1,"ＦＣＤ",,,"29φ",,
23,14,2,"外径","荒","□",,0.80,
24,14,3,"内径","荒","△","25H",0.80,
25,14,4,"内径","溝","3.2巾","20H",,"三菱"
26,14,5,"内径","仕","△","25H",0.40,"ﾎﾞﾛﾝ"
27,14,6,"外径","仕","◇",,0.40,"ﾎﾞﾛﾝ"
28,15,1,"ＦＣＤ",,,"44φ",,
29,15,2,"外径","荒","□",,0.80,
30,15,3,"内径","荒","△","25H",0.80,
31,15,4,"内径","仕","△","SF32H",0.40,"ﾎﾞﾛﾝ　　ケンマ代0.25"
32,15,5,"内径奥30°","面取り","△","25H",0.40,"ﾎﾞﾛﾝ"
33,15,6,"外径","仕","◇",,0.40,"ﾎﾞﾛﾝ"
34,18,1,"外径","荒","□",,0.80,
35,18,2,"外径","仕","◇",,0.40,
36,19,1,"外径","荒","□",,0.80,
37,19,2,"外径","仕","◇",,0.40,
38,16,1,"ＦＣＤ",,,"29φ",,
39,16,2,"外径","荒","□",,0.80,
40,16,3,"内径","荒","△","25H",0.80,
41,16,4,"内径","仕","△","25H",0.40,"Φ35仕上り"
42,16,5,"外径","仕","◇",,0.40,
43,17,1,"外径","荒","□",,0.80,
44,17,2,"内径","荒","△","25H",0.80,
45,17,3,"内径","仕","△","25H",0.40,
46,17,4,"外径","溝","4巾",,0.40,"タンガロイ"
47,17,5,"外径","仕","◇",,0.40,
48,9,1,"外径","荒","□",,0.80,"M00で反転逆付け"
49,9,2,"ＦＣＤ",,,"50φ",,
50,9,3,"外径","荒","□",,0.80,
51,9,4,"内径","荒","□△","32～40H",0.80,
52,9,5,"内径","仕","◇△","32～40H",0.40,"面のみ"
53,9,6,"外径","仕","◇",,0.40,
54,10,1,"外径","荒","□",,0.80,
55,10,2,"内径","仕","◇△","32～40H",0.40,
56,10,3,"外径","仕","◇",,0.40,
57,20,1,"ＦＣＤ",,,"25φ",,
58,20,2,"外径","荒","□",,0.80,
59,20,3,"内径","仕","△","20H",0.40,
60,20,4,"外径","仕","◇",,0.40,"角度付バイト"
61,21,1,"ＦＣＤ",,,"59φ",,
62,21,2,"外径","荒","□",,0.80,
63,21,3,"内径","底荒","◇","25Ｈ",0.80,"三菱"
64,21,4,"内径","荒","□","32～40H",0.80,
65,21,5,"内径","仕","◇","32～40H",0.40,"φ93.25
角度付バイト"
66,21,6,"外径","仕","◇",,0.40,"φ113.25  L=86.1"
67,22,1,"タップ",,"M30=P3.5","50H",,
68,24,1,"外径","荒","□",,0.80,"M00
Ｍ00で反転逆付け"
69,24,2,"ＦＣＤ",,,"59φ",,
70,24,3,"外径","荒","□",,0.80,
71,24,4,"内径","荒","□◇","32～40H",0.80,
72,24,5,"内径","面仕","△","32～40H",0.80,"サーメット"
73,24,6,"外径","仕","◇",,0.40,
74,24,7,"外径","溝","2巾",,1.00,"サンドビッグ"
75,25,1,"外径","荒","□",,0.80,
76,25,2,"内径","仕","△","32～40H",0.80,"サーメット"
77,25,3,"内径","溝","2.6巾","32Ｈ",,"三菱"
78,25,4,"外径","仕","◇",,0.40,
79,25,5,"内径","ラセン溝","◇","32Ｈ",0.80,"サンドビッグ　チップは35°の超硬"
80,23,1,"外径","荒","□",,0.80,
81,23,2,"内径","荒","△","20H",0.80,
82,23,3,"内径","仕","◇△","32～40H",0.40,
83,23,4,"端面","溝","3.5巾",,0.40,"京セラ　ＳＦＲ1001Ｃ"
84,23,5,"外径","仕","◇",,0.40,
85,26,1,"外径","荒","□",,0.80,
86,26,2,"外径","仕","◇",,0.40,
87,27,1,"外径","荒","□",,0.80,
88,27,2,"外径","仕","◇",,0.40,
89,27,3,"外径","溝","2.5巾",,0.30,"京セラ　KGBAR2525M22-15"
90,43,1,"ＦＣＤ",,,"36Φ",,
91,43,2,"外径","荒","□",,0.80,
92,43,3,"内径","荒","□△","25H",0.80,
93,43,4,"外径","仕","◇",,0.40,"角度付バイト"
94,44,1,"外径","荒","□",,0.80,
95,44,2,"内径","荒","□△","25H",0.80,
96,44,3,"内径","仕","△","25～32H",0.40,
97,44,4,"外径","仕","◇",,0.40,"角度付バイト"
98,44,5,"内径","ネジ","P=1.5","25H",,
99,47,1,"ＦＣＤ",,,"18Φ",,
100,47,2,"外径","荒","□",,0.80,
101,47,3,"内径","仕","△","12H",0.40,
102,47,4,"外径","仕","◇",,0.40,
103,48,1,"ＦＣＤ",,,"18～19Φ",,
104,48,2,"外径","荒","□",,0.80,
105,48,3,"内径","荒","△","16H",0.80,
106,48,4,"内径","仕","△","16H",0.40,"長いスリーブ使用　Φ18.95ネライ"
107,48,5,"外径","仕","◇",,0.40,
108,28,1,"端面","荒","□",,0.80,
109,28,2,"内径","荒","△","20～25H",0.80,
110,28,3,"内径","ヌスミ仕","6巾","32H",,"イスカルＨFIＬ－32ＭＣ　逆転Φ62.2仕上"
111,28,4,"内径","仕","△","25H",0.40,
112,28,5,"端面","仕","◇",,0.40,
113,29,1,"外径","荒","□",,0.80,
114,29,2,"内径","仕","◇","32H",0.40,"三菱"
115,29,3,"外径","仕","◇",,0.40,
116,29,4,"ＣＤ",,"60°","10Φ",,
117,30,1,"外径","荒","□",,0.80,
118,30,2,"ＣＤ",,"45°","12Ｈ",,
119,30,3,"Ｄ",,,"17．5Φ",,"穴なしドリル"
120,30,4,"内径","仕","△","12H",0.40,
121,30,5,"外径","仕","◇",,0.40,"PDHNR2525M"
122,30,6,"タップ",,"M20P2.5",,,
123,40,1,"ＦＣＤ",,,"39Φ",,
124,40,2,"外径","荒","□",,0.80,"Ｍ00～逆付け"
125,40,3,"外径","荒","□",,0.80,
126,40,4,"内径","荒","□","32H",0.80,
127,40,5,"内径","面仕","◇△","32H",0.40,"角度付バイト
φ40.7"
128,41,1,"外径","荒","□",,0.80,
129,41,2,"内径","荒","□","32H",0.80,
130,41,3,"内径","仕","◇","25～32H",0.40,"角度付バイト"
131,41,4,"外径","仕","◇",,0.40,"角度付バイト"
132,38,1,"外径","荒","□",,0.80,
133,38,2,"ＦＣＤ",,,"18～18.5Φ",,
134,38,3,"内径","仕","△","SF16H",0.40,
135,38,4,"外径","仕","◇",,0.40,
136,39,1,"外径","荒","□",,0.80,
137,39,2,"内径","仕","△","SF16H",0.40,
138,39,3,"外径","仕","◇",,0.40,
139,31,1,"ＦＣＤ",,,"36Φ",,
140,31,2,"外径","荒","□",,0.80,
141,31,3,"内径","荒","△","25H",0.80,
142,31,4,"内径","仕","△","25H",0.40,"38.9φで、そろえる事"
143,31,5,"外径","仕","◇",,0.40,
144,32,1,"外径","荒","□",,0.80,
145,32,2,"内径","仕","△","25H",0.40,
146,32,3,"外径","仕","◇",,0.40,
147,33,1,"ＦＣＤ",,,"59φ",,
148,33,2,"外径","荒","□",,0.80,"M00反転"
149,33,3,"外径","荒","□",,0.80,
150,33,4,"内径","荒","□△","32Ｈ",0.80,
151,33,5,"外径","仕","◇",,0.40,"角度付バイト"
152,34,1,"外径","荒","□",,0.80,
153,34,2,"内径","仕","□△","32～40H",0.80,"荒用チップ"
154,34,3,"外径","仕","◇",,0.40,
155,34,4,"内径","ネジ","M80P=1.5","32H",,
156,49,1,"ＦＣＤ",,,"59Φ",,
157,49,2,"外径","荒","□",,0.80,
158,49,3,"内径","荒","□△","40H",0.80,
