"OF_id","B_id","FD_id","F_name","DrawNo","B_name","Process","OF_ck"
1,,1,1000,"T20102A08","Uﾄﾞﾘﾙ用ｽﾘｰﾌﾞ(φ25)","L1.L2",0
2,,1,1001,"F58257A01","主軸前ｶﾊﾞｰ(2)","L1.L2.L3",0
3,,1,1002,"T20103A06","Uﾄﾞﾘﾙ用ｽﾘｰﾌﾞ(φ25.4)","L1.L2",0
4,,1,1003,"F57137D05","FLANGE","L1.L2",1
5,,1,1004,"T20104A08","Uﾄﾞﾘﾙ用ｽﾘｰﾌﾞ(φ20)","L1.L2",0
6,,1,1005,"F58263A03","FLANGE","L1.L2",0
7,,1,1006,"F56221C03","ｸﾗﾝﾌﾟ確認用軸ﾌﾀ","L1.L2",0
8,,1,1007,"R24614A03","中間軸","L1.L2",0
9,,1,1008,"F45189B05","FLANGE","L2.L3.L4",0
10,,1,1009,"F56226A04","心押しｼﾘﾝﾀﾞｰ","L1.L2",0
11,,1,1010,"F67384A06","LID","L1.L2",0
12,,1,1011,"F67494A01","FLANGE","L1.L2",1
13,,1,1012,"F46083A03","ｶﾗｰ (L1自動機)","L2",0
14,,1,1013,"F66224A05","FLANGE","L1.L2",0
15,,1,1014,"F67592A01","LID","L1.L2",0
16,,1,1015,"F67495A01","FLANGE","L1.L2",0
17,,1,1016,"F66244A02","FLANGE(X軸ﾍﾞｱﾘﾝｸﾞﾊｳｼﾞﾝｸﾞ)","L1.L2.L3",0
18,,1,1017,"F37196A02","ｶﾗｰ","L3.L4",0
19,,1,1018,"F63173A03","ｽﾘｰﾌﾞ","L1.L2.L3",0
20,,1,1019,"F58270B01","FLANGE","L1",0
21,,1,1020,"F66223A04","FLANGE","L1.L2",0
22,,1,1021,"F58277B02","FLANGE","L1.L2",0
23,,1,1022,"F56392A01","FLANGE","L1.L2",0
24,,1,1023,"F74046A01","ﾊﾟﾚｯﾄ当り","L1.L2",0
25,,1,1024,"F55276A04","COVER","L1",0
26,,1,1025,"F51226A01","FLANGE","L1",0
27,,1,1026,"F58259A06","FLANGE","L1.",0
28,,1,1027,"F55452A01","COVER","L1",0
29,,1,1028,"F66391A01","FLANGE","L1.L2",0
30,,1,1029,"F66392A01","FLANGE","L1.L2",0
31,,1,1030,"T20006A05","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ","L1.L2",0
32,,1,1031,"T20007A04","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ","L1.L2",0
33,,1,1032,"T20008A05","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ","L1.L2",0
34,,1,1033,"T20009A04","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ","L1.L2",0
35,,1,1034,"T20011A04","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ","L1.L2",0
36,,1,1035,"F66241A03","FLANGE(ﾚﾊﾞｰ軸固定ﾌﾗﾝｼﾞ)","L1.L2",0
37,,1,1036,"F42178B02","ｶﾗｰ","L1.L2.L3",0
38,,1,1037,"A22267A01","ﾓｰﾀｰﾍﾞｰｽ","L1.L2",0
39,,1,1038,"F53171A06","FLANGE","L1",0
40,,1,1039,"F28071A01","中間ｱﾀﾞﾌﾟﾀｰ","L1.L2.L3",0
41,,1,1040,"F56170A03","ﾊﾝﾄﾞｼﾘﾝﾀﾞｰ本体(1)","L1.L2",0
42,,1,1041,"F58275A07","主軸前ﾌﾀ20000rpm仕様","L1.L2",0
43,,1,1042,"T20181A02","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ(φ3/8”)","L1.L2",0
44,,1,1043,"F57677A03","FLANGE","L1.L2.L3",0
45,,1,1044,"T20182A02","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ(φ10)","L1.L2",0
46,,1,1045,"T20183A02","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ(φ1/2”)","L1.L2",0
47,,1,1046,"T20186A01","ﾎﾞｰﾘﾝｸﾞﾊﾞｰｽﾘｰﾌﾞ(16φ)","L1.L2",0
48,,1,1047,"A15086A03","段取STｽｲｯﾁｶﾊﾞｰ","L1.L2",0
49,,1,1048,"A22114A02","ﾓｰﾀｰﾍﾞｰｽ","L1.L2",0
50,,1,1049,"F58290A06","FLANGE","L1.L2",0
51,,1,1050,"F56396A01","FLANGE","L1.L2",0
52,,1,1051,"F67179B01","ﾍﾞｱﾘﾝｸﾞﾎﾙﾀﾞｰ","L1～L4",0
53,,1,1052,"F57683A03","HOUSING","L1.L2",0
54,,1,1053,"F72054B11","ﾃｰﾊﾟｰｺｰﾝ用ﾌﾟﾙｽﾀｯﾄﾞ","L1.L2",0
55,,1,1054,"T10045A12","ﾎﾞｰﾘﾝｸﾞﾊﾞｰﾎﾙﾀﾞｰ","L1",0
56,,1,1055,"F72267A02","PIN","L1.L2",0
57,,1,1056,"F72137A03","ﾌﾗﾝｼﾞ(油圧取入ﾌﾗﾝｼﾞ(2))","L1.L2",0
58,,1,1057,"R24538A02","APC固定ｷﾞﾔ軸(SHAFT)","L1.L2",0
59,,1,1058,"F55254A04","ﾍﾞｱﾘﾝｸﾞ押ｻｴ","L1.L2.L3",0
60,,1,1059,"T10036B20  ","ﾎﾞｰﾘﾝｸﾞﾊﾞｰﾎﾙﾀﾞｰ","L1",0
61,,1,1060,"F72278A01","LID","L1.L2",0
62,,1,1061,"B47143A05","BLOCK","L1.L2",0
63,,1,1062,"F66370A02","ﾌﾗﾝｼﾞ","L1.L2",0
64,,1,1063,"F48534A04","偏心ﾘﾝｸﾞ","L1.L2.L3",0
65,,1,1064,"F76078A04","ﾊﾝﾄﾞｼﾘﾝﾀﾞ本体(2)","L1.L2",0
66,,1,1065,"T10037B20  ","ﾎﾞｰﾘﾝｸﾞﾊﾞｰﾎﾙﾀﾞｰ","L1",0
67,,1,1066,"F66388B01","ﾌﾗﾝｼﾞ","L1～L4",0
68,,1,1067,"R28039A02","ECCENTRIC .SHAFT","L1",0
69,,1,1068,"F45185A03","FLANGE","L2.L3.L4",0
70,,1,1069,"R24574A06","ﾏｶﾞｼﾞﾝ旋回軸2","L1.L2",0
71,,1,1070,"R28039A02","ECCENTRIC.SHAFT","L2.L3",0
72,,1,1071,"F57456A05","後部ﾍﾞｱﾘﾝｸﾞﾊｳｼﾞﾝｸﾞ","L1.L2",0
73,,1,1072,"R27156A04","前後用ﾚﾊﾞｰ軸ｶﾞｲﾄﾞ","L1～L4",0
74,,1,1073,"R27292A03","SHAFT","L1～L4",0
75,,1,1074,"F66243A05","ﾂｰﾙ保持ﾌﾗﾝｼﾞ(BT30)","L1.L2",0
76,,1,1075,"F67555A02","LID","L1.L2",0
77,,1,1076,"F67493A02","FLANGE","L1.L2",0
78,,1,1077,"B27070A01","着座ﾌﾞﾛｯｸ(2)","L1.L2",0
79,,1,1078,"R27156A04","前後用ﾚﾊﾞｰ軸ｶﾞｲﾄﾞ","L5",0
80,,1,1079,"R27292A03","SHAFT","L5",0
81,,1,1080,"R28139A01","ECCENTRIC  SHAFT","L1",0
82,,1,1081,"F58317A02","FLANGE","L1.L2",0
83,,1,1082,"B27069A02","CLAMPER  PLATE","L1.L2",0
84,,1,1083,"G71027A05","CAM(誘導ｶﾑ)","L1.L2",0
85,,1,1084,"F56396B01","FLANGE","L1.L2",0
